text;canonical_form_1;canonical_form_2;canonical_form_3;category_1;category_2;category_3;severity_rating;severity_description
faggot mothafuckers;motherfucker;faggot;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
hooters;hooters;;;sexual anatomy / sexual acts;;;1;Mild
horse shit;shit;;;bodily fluids / excrement;animal references;;1.2;Mild
horse's asses;ass;;;sexual anatomy / sexual acts;animal references;;1.4;Mild
horseshit;shit;;;bodily fluids / excrement;animal references;;1.2;Mild
hustler;hustler;;;other / general insult;;;1;Mild
faggot nob jokeys;faggot;knob;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
j-offs;jerk off;;;sexual anatomy / sexual acts;;;1.4;Mild
j3rk;jerk;;;other / general insult;;;1;Mild
ja!lbait;jailbait;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
ja1lbait;jailbait;;;physical attributes;;;1;Mild
Jack off;jackoff;;;sexual anatomy / sexual acts;;;1.4;Mild
jack-off;jack off;;;sexual anatomy / sexual acts;;;1.2;Mild
jack-offs;jack off;;;sexual anatomy / sexual acts;;;1.4;Mild
jackarse;arse;;;sexual anatomy / sexual acts;;;1;Mild
jackass;ass;;;animal references;other / general insult;;1;Mild
jackasses;ass;;;sexual anatomy / sexual acts;;;1;Mild
jackasss;ass;;;animal references;;;1.2;Mild
fart-fucker;fuck;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
jackoffs;jack off;;;sexual anatomy / sexual acts;;;1.2;Mild
fccuker;fuck;;;sexual anatomy / sexual acts;;;2;Strong
jagoff;jack off;;;sexual anatomy / sexual acts;;;1;Mild
fck;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
jailbait;jailbait;;;sexual anatomy / sexual acts;;;1;Mild
fck you;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
jerk off;jerk off;;;sexual anatomy / sexual acts;;;1;Mild
jerk-0ff;jerk off;;;sexual anatomy / sexual acts;;;1.2;Mild
jerk-0ffs;jerk off;;;sexual anatomy / sexual acts;;;1.4;Mild
jerk-off;jerk off;;;sexual anatomy / sexual acts;;;1.2;Mild
jerk-offs;jerk off;;;sexual anatomy / sexual acts;;;1;Mild
jerking off;jerk off;;;sexual anatomy / sexual acts;;;1;Mild
fcka;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
jerkoff jerking off;jerk off;;;sexual anatomy / sexual acts;;;1.2;Mild
jerkoffs;jerk off;;;sexual anatomy / sexual acts;;;1.2;Mild
jerks off;jerk off;;;sexual anatomy / sexual acts;;;1.4;Mild
fckahz;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fcked;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fckedup;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fcker;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fckin;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fcking;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
Fckk;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fckked;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fckking;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fcks;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fcktard;fuck;retard;;sexual anatomy / sexual acts;mental disability;;2.8;Severe
fcuk;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fcuked;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fcuker;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
fcukers;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
